University,College,Semester,Subject,Resource,Link
Cluster University of Srinagar,Sri Pratap College,1st Semester,Mathematics,Syllabus,https://drive.google.com/file/d/1oOJ5qmS4xUXjrVc1h4soxzmJqrSDM4t8/view?usp=drivesdk
Cluster University of Srinagar,Amar Singh College,1st Semester,Mathematics,Syllabus,https://drive.google.com/file/d/1oOJ5qmS4xUXjrVc1h4soxzmJqrSDM4t8/view?usp=drivesdk
Cluster University of Srinagar,Government College for Women,1st Semester,Mathematics,Syllabus,https://drive.google.com/file/d/1oOJ5qmS4xUXjrVc1h4soxzmJqrSDM4t8/view?usp=drivesdk
Cluster University of Srinagar,Sri Pratap College,1st Semester,physics,Syllabus,https://drive.google.com/file/d/1cWgZB3zSqgO70KVzFK75MpyRduNyaDs4/view?usp=drivesdk
Cluster University of Srinagar,Sri Pratap College,1st Semester,physics,Roadmap,https://drive.google.com/file/d/13Hcq2ryn0VK-56vihx8Mz8n-2PzazQIG/view?usp=drivesdk
Cluster University of Srinagar,Amar Singh College,1st Semester,physics,Syllabus,https://drive.google.com/file/d/1cWgZB3zSqgO70KVzFK75MpyRduNyaDs4/view?usp=drivesdk
Cluster University of Srinagar,Government College for Women,1st Semester,physics,Syllabus,https://drive.google.com/file/d/1cWgZB3zSqgO70KVzFK75MpyRduNyaDs4/view?usp=drivesdk
Cluster University of Srinagar,Amar Singh College,1st Semester,physics,Roadmap,https://drive.google.com/file/d/13Hcq2ryn0VK-56vihx8Mz8n-2PzazQIG/view?usp=drivesdk
Cluster University of Srinagar,Government College for Women,1st Semester,physics,Roadmap,https://drive.google.com/file/d/13Hcq2ryn0VK-56vihx8Mz8n-2PzazQIG/view?usp=drivesdk
Cluster University of Srinagar,Government College for Women,1st Semester,physics,Major,https://drive.google.com/drive/folders/1VnozlIb6xg1IrCnnpHniJZ-rDV3mjqsB
Cluster University of Srinagar,Government College for Women,1st Semester,Chemistry,Roadmap,https://www.mediafire.com/file/12j07cm5zci8858/onspotadmissionforpg.pdf/file
